lon,lat,address,sheng,shi,xian,xiangzhen,cun,goods_made,geocodeAdd
115.998013,24.663262,"sun village, pingyuan, meizhou, guangdong, china",广东省,惠州市,惠东县,白花镇,太阳村,家电配件,广东省太阳村
116.452753,23.266864,"dongxicun, chaonan, shantou, guangdong, china",广东省,江门市,鹤山市,址山镇,东溪村,家具、摩托车配件,广东省东溪村
116.903333,23.773233,"junpucun, raoping, chaozhou, guangdong, china",广东省,揭阳市,揭东区,锡场镇,军埔村,服装、不锈钢制品,广东省军埔村
116.275592,23.243796,"dachanglong, puning, jieyang, guangdong, china",广东省,揭阳市,普宁市,军埠镇,大长陇村,手机,广东省大长陇村
116.289177,23.277482,"shiqiaotoucun, puning, jieyang, guangdong, china",广东省,揭阳市,普宁市,军埠镇,石桥头村,手机,广东省石桥头村
116.201011,23.27666,"mazhacun, puning, jieyang, guangdong, china",广东省,揭阳市,普宁市,流沙南街道,马栅村,女装,广东省马栅村
116.089107,23.3797,"xinancun, puning, jieyang, guangdong, china",广东省,揭阳市,普宁市,梅塘镇,溪南村,鞋,广东省溪南村
116.286887,23.290473,"xiloucun, puning, jieyang, guangdong, china",广东省,揭阳市,普宁市,占陇镇,西楼村,手机,广东省西楼村
113.883918,22.788867,"xiacun, bao'an, shenzhen, guangdong, china, 511700",广东省,揭阳市,普宁市,占陇镇,下村,手机,广东省下村
116.249173,23.701312,"xinliaocun, jiedong, jieyang, guangdong, china",广东省,揭阳市,普宁市,占陇镇,新寮村,手机,广东省新寮村
116.269494,23.285291,"zhanchencun, puning, jieyang, guangdong, china",广东省,揭阳市,普宁市,占陇镇,占陈村,女装,广东省占陈村
116.480567,23.168759,"jianpucun, chaonan, shantou, guangdong, china",广东省,汕头市,潮南区,成田镇,简朴村,数码配件,广东省简朴村
116.473787,23.191793,"xiqicun, chaonan, shantou, guangdong, china",广东省,汕头市,潮南区,成田镇,西岐村,数码配件,广东省西岐村
116.3927,23.205553,"dongbei village, chaonan, shantou, guangdong, china",广东省,汕头市,潮南区,两英镇,东北村,手机、化妆品,广东省东北村
116.522996,23.172168,"zhilancun, chaonan, shantou, guangdong, china",广东省,汕头市,潮南区,陇田镇,芝兰村,手机,广东省芝兰村
NA,NA,NA,广东省,汕头市,潮南区,陇田镇,珠埕村,香水,广东省珠埕村
NA,NA,NA,广东省,汕头市,潮南区,胪岗镇,新庆村,家居服,广东省新庆村
116.364635,23.287946,"hualixicun, chaonan, shantou, guangdong, china",广东省,汕头市,潮南区,司马浦镇,华里西村,化妆品、奶粉,广东省华里西村
116.523989,24.238216,"dakengcun, dabu, meizhou, guangdong, china",广东省,汕头市,潮阳区,谷饶镇,大坑村,电脑配件,广东省大坑村
116.263783,23.244842,"xincuocun, puning, jieyang, guangdong, china",广东省,汕头市,潮阳区,贵屿镇,新厝村,手机,广东省新厝村
116.594858,23.570716,"donglongcun, chao'an, chaozhou, guangdong, china",广东省,汕头市,潮阳区,河溪镇,东陇村,手机,广东省东陇村
NA,NA,NA,广东省,汕尾市,陆丰市,碣石镇,桂林村,摩托车,广东省桂林村
114.87983,39.95597,"bailewucun, yuxian, zhangjiakou, hebei, china",河北省,保定市,-,白沟新城,白五村,箱包,河北省白五村
116.032941,39.126574,"laiyuancun, gaobeidian, baoding, hebei, china",河北省,保定市,-,白沟新城,来远村,箱包,河北省来远村
NA,NA,NA,河北省,保定市,-,白沟新城,王庄村,箱包,河北省王庄村
116.535571,39.585272,"sanxiaoyingcun, guangyang, langfang, hebei, china",河北省,保定市,-,白沟新城,小营村,箱包,河北省小营村
118.130834,39.632008,"xishan rd, lubei qu, tangshan shi, hebei sheng, china, 063000",河北省,保定市,-,白沟新城,许庄村,箱包,河北省许庄村
NA,NA,NA,河北省,保定市,蠡县,辛兴镇,南沙口村,毛线,河北省南沙口村
NA,NA,NA,河北省,保定市,清苑县,东吕乡,东吕村,起重工具,河北省东吕村
NA,NA,NA,河北省,保定市,曲阳县,羊平镇,南村,石雕,河北省南村
114.496785,36.808253,"hebeipucun, yongnian, handan, hebei, china",河北省,邯郸市,永年县,临洺关镇,河北铺村,化妆品,河北省河北铺村
115.14612,38.141868,"gengzhuangcun, shenze, shijiazhuang, hebei, china",河北省,石家庄市,深泽县,桥头乡,耿庄村,清洁剂,河北省耿庄村
114.547489,38.198739,"beijiacun, zhengding, shijiazhuang, hebei, china",河北省,石家庄市,正定县,正定镇,北贾村,家具,河北省北贾村
115.538598,37.150785,"suolu river, weixian, xingtai, china",河北省,邢台市,南宫市,垂杨镇,后索泸村,皮草,河北省后索泸村
115.61412,37.21082699999999,"songjiadushuicun, nangong, xingtai, hebei, china",河北省,邢台市,南宫市,垂杨镇,宋都水村,汽车用品,河北省宋都水村
115.679699,37.179232,"duanlutousicun, nangong, xingtai, hebei, china",河北省,邢台市,南宫市,段芦头镇,段四村,汽车用品,河北省段四村
114.580076,39.820495,"nanzhangzhuangcun, yuxian, zhangjiakou, hebei, china",河北省,邢台市,南宫市,段芦头镇,南张庄村,毛线,河北省南张庄村
115.094449,37.058819,"huohongcun, pingxiang, xingtai, hebei, china",河北省,邢台市,平乡县,丰州镇,霍洪村,童车,河北省霍洪村
115.008445,37.005217,"aicun, pingxiang, xingtai, hebei, china",河北省,邢台市,平乡县,田付村乡,艾村,童车,河北省艾村
115.69825,37.098617,"huangjinzhuangcun, qinghe, xingtai, hebei, china",河北省,邢台市,清河县,葛仙庄镇,黄金庄村,毛衣,河北省黄金庄村
115.680196,37.129773,"langlvpocun, qinghe, xingtai, hebei, china",河北省,邢台市,清河县,葛仙庄镇,郎吕坡村,毛线,河北省郎吕坡村
115.688631,37.109796,"xigaozhuangcun, qinghe, xingtai, hebei, china",河北省,邢台市,清河县,葛仙庄镇,西高庄村,毛线、毛衣,河北省西高庄村
115.716682,37.11487899999999,"xu'erzhuangcun, qinghe, xingtai, hebei, china",河北省,邢台市,清河县,葛仙庄镇,许二庄村,毛衣,河北省许二庄村
115.727042,37.084418,"yang'erzhuangcun, qinghe, xingtai, hebei, china",河北省,邢台市,清河县,葛仙庄镇,杨二庄村,毛衣,河北省杨二庄村
116.879445,38.478965,"zhang'erzhuang bridge, lidu line, qingxian, cangzhou shi, hebei sheng, china",河北省,邢台市,清河县,葛仙庄镇,张二庄村,毛线,河北省张二庄村
115.74192,37.112648,"xizhanggucun, qinghe, xingtai, hebei, china",河北省,邢台市,清河县,连庄镇,西张古村,毛衣,河北省西张古村
115.700078,37.112362,"donggaozhuangcun, qinghe, xingtai, hebei, china",河北省,邢台市,清河县,杨二庄镇,东高庄村,毛线、毛衣,河北省东高庄村
112.870275,34.907011,"sangpocun, mengzhou, jiaozuo, henan, china",河南省,焦作市,孟州市,南庄镇,桑坡村,家电、鞋,河南省桑坡村
110.310355,32.887597,"xiayingcun, yunxi, shiyan, hubei, china",湖北省,十堰市,郧西县,涧池乡,下营村,绿松石,湖北省下营村
119.70673,31.233659,"shengzhuangcun, yixing, wuxi, jiangsu, china",江苏省,常州市,武进区,横山桥镇,省庄村,毛线、营养食品,江苏省省庄村
120.424331,31.237621,"xicaicun, wuzhong, suzhou, jiangsu, china",江苏省,连云港市,东海县,牛山镇,西蔡村,饰品,江苏省西蔡村
NA,NA,NA,江苏省,南通市,通州区,川姜镇,三合口村,床上用品,江苏省三合口村
121.066311,31.990323,"yichengcun, tongzhou, nantong, jiangsu, china",江苏省,南通市,通州区,川姜镇,义成村,床上用品,江苏省义成村
119.7889248,33.1401715,"jiangsu, china",江苏省,南通市,通州区,川姜镇,志南村,床上用品,江苏省志南村
117.259684,34.177115,"tangfangcun, yunlong, xuzhou, jiangsu, china, 221100",江苏省,南通市,通州区,张芝山镇,塘坊村,床上用品,江苏省塘坊村
120.690938,31.620997,"yanxiangcun, changshu, suzhou, jiangsu, china",江苏省,苏州市,常熟市,尚湖镇,颜巷村,服装,江苏省颜巷村
